period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,kashm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,kashm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
3,3,4,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
4,4,5,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
5,5,6,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
6,6,7,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
7,7,8,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
8,8,9,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
9,9,10,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
10,10,11,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
11,11,12,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
12,12,13,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
13,13,14,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
14,14,15,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
15,15,16,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
16,16,17,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
17,17,18,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
18,18,19,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
19,19,20,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
20,20,21,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
21,21,22,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
22,22,23,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
23,23,24,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
24,24,25,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
25,25,26,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
26,26,27,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
27,27,28,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
28,28,29,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
29,29,30,1,kashm,1,0,94.5,0,0,0,0,0,0,0,94.5,0,0,0,0,94.5,94.5,0,0
